0,1,2,6,7,3,5,8,4
1,Vince,Mayo,181.55,179.17,M,37,Asian,vincemayo3@gmail.com
2,Albert,Flynn,176.78,129.85,M,42,Black or African American,albertflynn7@gmail.com
3,Titus,Delacruz,177.56,118.56,M,24,Native Hawaiian or Other Pacific Islander,titusdelacruz3@gmail.com
4,Cary,Bradley,154.8,141.97,M,58,Native Hawaiian or Other Pacific Islander,carybradley3@gmail.com
5,Denis,Moore,157.33,160.4,M,42,Native Hawaiian or Other Pacific Islander,denismoore6@gmail.com
6,Jame,Robles,172.17,148.16,M,21,Native Hawaiian or Other Pacific Islander,jamerobles1@gmail.com
7,Man,Osborn,154.56,176.52,M,57,Native Hawaiian or Other Pacific Islander,manosborn7@gmail.com
8,Genaro,Dominguez,152.94,146.92,M,23,Black or African American,genarodominguez1@gmail.com
9,Gilberto,Hodge,162.85,192.22,M,31,Native Hawaiian or Other Pacific Islander,gilbertohodge6@gmail.com
10,Jack,Snow,169.68,165.76,M,59,Black or African American,jacksnow4@gmail.com
11,Leonel,Thomas,177.64,199,M,59,Black or African American,leonelthomas3@gmail.com
12,Doug,Wood,164.61,184.63,M,58,American Indian or Alaska Native,dougwood7@gmail.com
13,Barney,Daniels,163.74,97.11,M,53,Black or African American,barneydaniels3@gmail.com
14,Jewel,Gomez,175.26,149.57,M,35,Prefer not to say,jewelgomez2@gmail.com
15,Frankie,Love,174.87,129.69,M,35,Prefer not to say,frankielove9@gmail.com
16,Gavin,Harrington,181.28,133.3,M,54,American Indian or Alaska Native,gavinharrington4@gmail.com
17,Clark,Bruce,163.23,195.99,M,43,White,clarkbruce3@gmail.com
18,Ernie,Crane,157.17,142.42,M,60,Prefer not to say,erniecrane2@gmail.com
19,Mike,Parsons,173.64,171.8,M,21,Prefer not to say,mikeparsons6@gmail.com
20,Heriberto,Rosales,162.62,126.05,M,51,Asian,heribertorosales8@gmail.com
21,Marshall,Rice,159.27,173.96,M,45,American Indian or Alaska Native,marshallrice5@gmail.com
22,Jospeh,Mcdaniel,173.61,197.02,M,54,American Indian or Alaska Native,jospehmcdaniel6@gmail.com
23,Clint,Bishop,172.36,122.99,M,30,Prefer not to say,clintbishop6@gmail.com
24,Felix,Eaton,166.5,181.55,M,52,Asian,felixeaton2@gmail.com
25,Homer,Pineda,166.65,146.67,M,43,Native Hawaiian or Other Pacific Islander,homerpineda1@gmail.com
26,Len,Fischer,158.9,108.68,M,52,Prefer not to say,lenfischer5@gmail.com
27,Ricky,Mendez,181.79,139.18,M,56,American Indian or Alaska Native,rickymendez4@gmail.com
28,Alberto,Cardenas,177.8,177.26,M,49,Native Hawaiian or Other Pacific Islander,albertocardenas6@gmail.com
29,Allen,Wyatt,161.9,175.15,M,37,Prefer not to say,allenwyatt1@gmail.com
30,Sanford,Porter,177.34,186.88,M,26,Asian,sanfordporter8@gmail.com
31,Herman,Branch,168.26,184.3,M,55,American Indian or Alaska Native,hermanbranch7@gmail.com
32,Leo,Santos,152.72,128.22,M,58,Asian,leosantos1@gmail.com
33,Patrick,Bright,179.87,123.52,M,27,White,patrickbright6@gmail.com
34,Isaias,Knapp,166.3,113.4,M,23,White,isaiasknapp3@gmail.com
35,Rico,Oconnell,163.38,136.56,M,54,Native Hawaiian or Other Pacific Islander,ricooconnell8@gmail.com
36,Franklyn,Peters,158.18,168.87,M,57,Native Hawaiian or Other Pacific Islander,franklynpeters3@gmail.com
37,Merle,Leon,170.77,142.7,M,60,American Indian or Alaska Native,merleleon4@gmail.com
38,Del,Wallace,163.52,137.2,M,22,American Indian or Alaska Native,delwallace6@gmail.com
39,Tory,Bernard,170.41,175.45,M,45,Asian,torybernard1@gmail.com
40,Branden,Mcdowell,179.02,112.64,M,27,Native Hawaiian or Other Pacific Islander,brandenmcdowell2@gmail.com
41,Mohammed,Buchanan,164.08,141.26,M,54,Native Hawaiian or Other Pacific Islander,mohammedbuchanan5@gmail.com
42,Leland,Holmes,180.55,164.29,M,33,Native Hawaiian or Other Pacific Islander,lelandholmes8@gmail.com
43,Victor,Gaines,157.44,178.25,M,35,American Indian or Alaska Native,victorgaines2@gmail.com
44,Santiago,Chandler,162.39,107.66,M,31,Asian,santiagochandler6@gmail.com
45,Ervin,Bryan,166.07,138.44,M,56,Black or African American,ervinbryan1@gmail.com
46,Jerold,Mccarty,166.19,158.89,M,55,Prefer not to say,jeroldmccarty4@gmail.com
47,Rich,Hurst,160.35,154.49,M,28,Native Hawaiian or Other Pacific Islander,richhurst8@gmail.com
48,Dominique,Griffin,171.9,197.2,M,44,American Indian or Alaska Native,dominiquegriffin9@gmail.com
49,Dillon,Curtis,170.57,130.6,M,41,Asian,dilloncurtis7@gmail.com
50,Herschel,Gibson,182.86,137.65,M,35,Black or African American,herschelgibson9@gmail.com
51,Billie,Le,174.66,109.54,M,53,Prefer not to say,billiele8@gmail.com
52,Walton,Hall,158.62,139.06,M,55,Prefer not to say,waltonhall4@gmail.com
53,Gabriel,Gonzales,164.24,112.15,M,27,Native Hawaiian or Other Pacific Islander,gabrielgonzales1@gmail.com
54,Boris,Bryant,166.98,104.47,M,51,Black or African American,borisbryant7@gmail.com
55,Earle,Lloyd,162.59,117.54,M,50,Asian,earlelloyd7@gmail.com
56,Dwight,Hays,173.7,126.57,M,51,American Indian or Alaska Native,dwighthays8@gmail.com
57,Milan,Gamble,173.58,92.86,M,35,Black or African American,milangamble3@gmail.com
58,Rudolf,Mcconnell,159.23,179.7,M,27,Black or African American,rudolfmcconnell4@gmail.com
59,Raleigh,Terry,180.28,168.23,M,41,Prefer not to say,raleighterry4@gmail.com
60,Whitney,Morton,167.77,169.3,M,55,American Indian or Alaska Native,whitneymorton5@gmail.com
61,Thaddeus,Williams,158.62,153.28,M,50,Asian,thaddeuswilliams2@gmail.com
62,Jack,Henson,171.11,164.85,M,28,White,jackhenson7@gmail.com
63,Kyle,Cervantes,166.68,106.69,M,54,White,kylecervantes4@gmail.com
64,Chris,Francis,170.64,167.96,M,47,White,chrisfrancis1@gmail.com
65,Stanley,Graves,177.46,191.13,M,47,Black or African American,stanleygraves9@gmail.com
66,Kurt,Ware,181.22,161.37,M,20,Prefer not to say,kurtware7@gmail.com
67,David,Mayer,165.06,188.03,M,32,Asian,davidmayer2@gmail.com
68,Tony,Richards,158.58,107.23,M,37,American Indian or Alaska Native,tonyrichards7@gmail.com
69,Basil,Callahan,173.57,132.56,M,35,Native Hawaiian or Other Pacific Islander,basilcallahan8@gmail.com
70,Bruce,Blevins,154.11,96.63,M,32,Prefer not to say,bruceblevins2@gmail.com
71,Cornell,Lara,169.57,119.53,M,28,Black or African American,cornelllara7@gmail.com
72,Duane,Sullivan,168.32,151.41,M,43,American Indian or Alaska Native,duanesullivan8@gmail.com
73,Lesley,Harrell,156.51,163.08,M,25,American Indian or Alaska Native,lesleyharrell4@gmail.com
74,Emerson,Silva,167.63,98.43,M,57,White,emersonsilva6@gmail.com
75,Marcelino,Scott,160.14,196.69,M,56,White,marcelinoscott4@gmail.com
76,Jefferson,Barr,163.5,190.23,M,26,Native Hawaiian or Other Pacific Islander,jeffersonbarr7@gmail.com
77,Silas,Hughes,163.87,181.44,M,54,Native Hawaiian or Other Pacific Islander,silashughes9@gmail.com
78,Carmelo,Davis,170.27,150.51,M,24,Prefer not to say,carmelodavis9@gmail.com
79,Dwayne,Aguilar,156.17,169.8,M,52,Black or African American,dwayneaguilar7@gmail.com
80,Alex,Lee,173.68,93.8,M,41,Prefer not to say,alexlee6@gmail.com
81,Bret,Graham,177.45,174.82,M,21,White,bretgraham5@gmail.com
82,Alphonso,Chen,157.76,182.64,M,55,Prefer not to say,alphonsochen4@gmail.com
83,Terence,Hood,161.49,188.25,M,31,Black or African American,terencehood7@gmail.com
84,Huey,Short,181.41,190.27,M,39,Black or African American,hueyshort3@gmail.com
85,Colby,Ray,168.95,120.08,M,44,White,colbyray2@gmail.com
86,Gregg,Horne,175.65,185.14,M,38,White,gregghorne7@gmail.com
87,Barrett,Stark,156.56,136.48,M,56,Native Hawaiian or Other Pacific Islander,barrettstark4@gmail.com
88,Donn,Norton,167.66,94.07,M,43,American Indian or Alaska Native,donnnorton6@gmail.com
89,Conrad,Moore,164.66,90.42,M,49,Black or African American,conradmoore2@gmail.com
90,Shirley,Dickerson,159.5,97.45,M,26,Native Hawaiian or Other Pacific Islander,shirleydickerson9@gmail.com
91,Barton,Dickson,163.72,188.82,M,35,Prefer not to say,bartondickson7@gmail.com
92,Rocco,Collier,174.93,137.43,M,28,Native Hawaiian or Other Pacific Islander,roccocollier5@gmail.com
93,Jessie,Gates,171.78,94.47,M,52,Native Hawaiian or Other Pacific Islander,jessiegates9@gmail.com
94,Graham,Abbott,155.61,137.21,M,38,Native Hawaiian or Other Pacific Islander,grahamabbott9@gmail.com
95,Elroy,Hanna,161.89,113.17,M,24,Prefer not to say,elroyhanna4@gmail.com
96,Riley,Dillon,165.69,114.4,M,33,White,rileydillon2@gmail.com
97,Ralph,Acevedo,173.34,141.61,M,26,Native Hawaiian or Other Pacific Islander,ralphacevedo4@gmail.com
98,Olin,Forbes,171.9,113.43,M,29,American Indian or Alaska Native,olinforbes9@gmail.com
99,Shayne,Mullins,164.14,142.52,M,41,Native Hawaiian or Other Pacific Islander,shaynemullins8@gmail.com
100,Jody,Arellano,176.58,156.88,M,31,Prefer not to say,jodyarellano6@gmail.com
101,Horacio,Fields,158.57,145.45,M,21,American Indian or Alaska Native,horaciofields8@gmail.com
102,Renato,Hester,164.9,130.51,M,30,Native Hawaiian or Other Pacific Islander,renatohester8@gmail.com
103,Javier,Shaffer,182.53,173.29,M,22,White,javiershaffer7@gmail.com
104,Delmer,Melton,171.83,196.22,M,57,Native Hawaiian or Other Pacific Islander,delmermelton5@gmail.com
105,Darron,Morris,165.24,119.74,M,33,Prefer not to say,darronmorris1@gmail.com
106,Buford,Hunt,165.14,156.28,M,23,American Indian or Alaska Native,bufordhunt4@gmail.com
107,Byron,Hurley,170.58,138.52,M,52,Asian,byronhurley8@gmail.com
108,Gabriel,Bray,176.38,148.84,M,31,Black or African American,gabrielbray1@gmail.com
109,Rubin,Mcmahon,179.12,121.6,M,20,Native Hawaiian or Other Pacific Islander,rubinmcmahon3@gmail.com
110,Mariano,Wolf,157.82,116.28,M,54,Asian,marianowolf3@gmail.com
111,Brian,Berger,154.31,177,M,59,American Indian or Alaska Native,brianberger4@gmail.com
112,Simon,Anderson,180.64,104.79,M,39,Native Hawaiian or Other Pacific Islander,simonanderson9@gmail.com
113,Hugh,Ewing,173.35,119.44,M,31,Asian,hughewing2@gmail.com
114,Mac,Garrett,169.05,160.05,M,52,Asian,macgarrett1@gmail.com
115,Val,Jimenez,169.73,135.69,M,41,Black or African American,valjimenez2@gmail.com
116,Jamar,Mcdonald,174.6,198.56,M,36,White,jamarmcdonald6@gmail.com
117,Eliseo,Villarreal,175.79,194.41,M,24,Prefer not to say,eliseovillarreal8@gmail.com
118,Adan,Davila,171.68,166.31,M,51,Black or African American,adandavila3@gmail.com
119,Genaro,Barrera,171.89,120.51,M,41,Asian,genarobarrera9@gmail.com
120,Wesley,Griffin,169.69,114.58,M,29,White,wesleygriffin8@gmail.com
121,Abraham,Calhoun,179.27,134.49,M,49,Black or African American,abrahamcalhoun4@gmail.com
122,Noel,Pace,160.85,196.15,M,36,Native Hawaiian or Other Pacific Islander,noelpace8@gmail.com
123,Walton,Glenn,174.32,92.11,M,41,American Indian or Alaska Native,waltonglenn5@gmail.com
124,Hank,Rush,162.74,114.66,M,38,Asian,hankrush3@gmail.com
125,Myles,Palmer,172.85,167.05,M,27,Native Hawaiian or Other Pacific Islander,mylespalmer1@gmail.com
126,Nickolas,Sherman,157.2,164.72,M,57,Native Hawaiian or Other Pacific Islander,nickolassherman1@gmail.com
127,Fidel,Camacho,170.6,177.51,M,42,Native Hawaiian or Other Pacific Islander,fidelcamacho2@gmail.com
128,Jan,Huff,179.28,167.46,M,38,White,janhuff5@gmail.com
129,Silas,Osborne,163.8,161.8,M,26,White,silasosborne7@gmail.com
130,Kurt,Chambers,178.67,189.05,M,40,Black or African American,kurtchambers5@gmail.com
131,Jarrod,Kent,156.71,139.72,M,59,Native Hawaiian or Other Pacific Islander,jarrodkent5@gmail.com
132,Danial,Munoz,161.44,136.95,M,28,American Indian or Alaska Native,danialmunoz8@gmail.com
133,Spencer,Booker,170.71,164.85,M,40,White,spencerbooker1@gmail.com
134,Rolando,Pena,153.27,195.53,M,29,Prefer not to say,rolandopena9@gmail.com
135,Gail,Perkins,175.35,172.54,M,29,White,gailperkins3@gmail.com
136,Moshe,Cummings,180.01,185.13,M,42,White,moshecummings9@gmail.com
137,Tristan,Francis,179.69,132.93,M,28,American Indian or Alaska Native,tristanfrancis8@gmail.com
138,Shannon,Sexton,173.3,92.13,M,52,Native Hawaiian or Other Pacific Islander,shannonsexton9@gmail.com
